https://en.wikipedia.org/wiki/Calvin_Harris	Calvin Harris
https://en.wikipedia.org/wiki/Ellie_Goulding	Ellie Goulding
https://en.wikipedia.org/wiki/Kesha	Kesha
https://en.wikipedia.org/wiki/Fun_(band)	Fun (band)
https://en.wikipedia.org/wiki/Wale_(rapper)	Wale (rapper)
https://en.wikipedia.org/wiki/Tiara_Thomas	Tiara Thomas
https://en.wikipedia.org/wiki/Rihanna	Rihanna
https://en.wikipedia.org/wiki/Blake_Shelton	Blake Shelton
https://en.wikipedia.org/wiki/Pistol_Annies	Pistol Annies
https://en.wikipedia.org/wiki/Phillip_Phillips	Phillip Phillips
https://en.wikipedia.org/wiki/Imagine_Dragons	Imagine Dragons
https://en.wikipedia.org/wiki/OneRepublic	OneRepublic
https://en.wikipedia.org/wiki/Flo_Rida	Flo Rida
https://en.wikipedia.org/wiki/Of_Monsters_and_Men	Of Monsters and Men
https://en.wikipedia.org/wiki/Jason_Derulo	Jason Derulo
https://en.wikipedia.org/wiki/Eminem	Eminem
https://en.wikipedia.org/wiki/Kelly_Clarkson	Kelly Clarkson
https://en.wikipedia.org/wiki/Luke_Bryan	Luke Bryan
https://en.wikipedia.org/wiki/Rihanna	Rihanna
https://en.wikipedia.org/wiki/Taylor_Swift	Taylor Swift
https://en.wikipedia.org/wiki/Hunter_Hayes	Hunter Hayes
https://en.wikipedia.org/wiki/Ylvis	Ylvis
https://en.wikipedia.org/wiki/One_Direction	One Direction
https://en.wikipedia.org/wiki/Ed_Sheeran	Ed Sheeran
https://en.wikipedia.org/wiki/Fun_(band)	Fun (band)
https://en.wikipedia.org/wiki/Tim_McGraw	Tim McGraw
https://en.wikipedia.org/wiki/Taylor_Swift	Taylor Swift
https://en.wikipedia.org/wiki/Keith_Urban	Keith Urban
https://en.wikipedia.org/wiki/Luke_Bryan	Luke Bryan
https://en.wikipedia.org/wiki/Kendrick_Lamar	Kendrick Lamar
https://en.wikipedia.org/wiki/Blake_Shelton	Blake Shelton
https://en.wikipedia.org/wiki/Mariah_Carey	Mariah Carey
https://en.wikipedia.org/wiki/Miguel_(singer)	Miguel (singer)
https://en.wikipedia.org/wiki/Olly_Murs	Olly Murs
https://en.wikipedia.org/wiki/Flo_Rida	Flo Rida
https://en.wikipedia.org/wiki/Ciara	Ciara
https://en.wikipedia.org/wiki/Miguel_(singer)	Miguel (singer)
https://en.wikipedia.org/wiki/The_Script	The Script
https://en.wikipedia.org/wiki/Will.i.am	Will.i.am
https://en.wikipedia.org/wiki/Ne-Yo	Ne-Yo
https://en.wikipedia.org/wiki/Rocko_(rapper)	Rocko (rapper)
https://en.wikipedia.org/wiki/Future_(rapper)	Future (rapper)
https://en.wikipedia.org/wiki/Rick_Ross	Rick Ross
https://en.wikipedia.org/wiki/Emeli_Sand%C3%A9	Emeli Sandé
https://en.wikipedia.org/wiki/Miranda_Lambert	Miranda Lambert
https://en.wikipedia.org/wiki/Thomas_Rhett	Thomas Rhett
https://en.wikipedia.org/wiki/Ace_Hood	Ace Hood
https://en.wikipedia.org/wiki/Future_(rapper)	Future (rapper)
